time,year,month,quarter,day,hour,week,t
05/01/2017 03:00,2017,jan,1,5,3,w1,100
05/01/2017 04:00,2017,jan,1,5,4,w1,101
05/01/2017 05:00,2017,jan,1,5,5,w1,102
05/01/2017 06:00,2017,jan,1,5,6,w1,103
05/01/2017 07:00,2017,jan,1,5,7,w1,104
05/01/2017 08:00,2017,jan,1,5,8,w1,105
05/01/2017 09:00,2017,jan,1,5,9,w1,106
05/01/2017 10:00,2017,jan,1,5,10,w1,107
05/01/2017 11:00,2017,jan,1,5,11,w1,108
05/01/2017 12:00,2017,jan,1,5,12,w1,109
05/01/2017 13:00,2017,jan,1,5,13,w1,110
05/01/2017 14:00,2017,jan,1,5,14,w1,111
05/01/2017 15:00,2017,jan,1,5,15,w1,112
05/01/2017 16:00,2017,jan,1,5,16,w1,113
05/01/2017 17:00,2017,jan,1,5,17,w1,114
05/01/2017 18:00,2017,jan,1,5,18,w1,115
05/01/2017 19:00,2017,jan,1,5,19,w1,116
05/01/2017 20:00,2017,jan,1,5,20,w1,117
05/01/2017 21:00,2017,jan,1,5,21,w1,118
05/01/2017 22:00,2017,jan,1,5,22,w1,119
05/01/2017 23:00,2017,jan,1,5,23,w1,120
06/01/2017 00:00,2017,jan,1,6,0,w1,121
06/01/2017 01:00,2017,jan,1,6,1,w1,122
06/01/2017 02:00,2017,jan,1,6,2,w1,123
06/01/2017 03:00,2017,jan,1,6,3,w1,124
06/01/2017 04:00,2017,jan,1,6,4,w1,125
06/01/2017 05:00,2017,jan,1,6,5,w1,126
06/01/2017 06:00,2017,jan,1,6,6,w1,127
06/01/2017 07:00,2017,jan,1,6,7,w1,128
06/01/2017 08:00,2017,jan,1,6,8,w1,129
06/01/2017 09:00,2017,jan,1,6,9,w1,130
06/01/2017 10:00,2017,jan,1,6,10,w1,131
06/01/2017 11:00,2017,jan,1,6,11,w1,132
06/01/2017 12:00,2017,jan,1,6,12,w1,133
06/01/2017 13:00,2017,jan,1,6,13,w1,134
06/01/2017 14:00,2017,jan,1,6,14,w1,135
06/01/2017 15:00,2017,jan,1,6,15,w1,136
06/01/2017 16:00,2017,jan,1,6,16,w1,137
06/01/2017 17:00,2017,jan,1,6,17,w1,138
06/01/2017 18:00,2017,jan,1,6,18,w1,139
06/01/2017 19:00,2017,jan,1,6,19,w1,140
06/01/2017 20:00,2017,jan,1,6,20,w1,141
06/01/2017 21:00,2017,jan,1,6,21,w1,142
06/01/2017 22:00,2017,jan,1,6,22,w1,143
06/01/2017 23:00,2017,jan,1,6,23,w1,144
07/01/2017 00:00,2017,jan,1,7,0,w1,145
07/01/2017 01:00,2017,jan,1,7,1,w1,146
07/01/2017 02:00,2017,jan,1,7,2,w1,147
07/01/2017 03:00,2017,jan,1,7,3,w1,148
07/01/2017 04:00,2017,jan,1,7,4,w1,149
07/01/2017 05:00,2017,jan,1,7,5,w1,150
07/01/2017 06:00,2017,jan,1,7,6,w1,151
07/01/2017 07:00,2017,jan,1,7,7,w1,152
07/01/2017 08:00,2017,jan,1,7,8,w1,153
07/01/2017 09:00,2017,jan,1,7,9,w1,154
07/01/2017 10:00,2017,jan,1,7,10,w1,155
07/01/2017 11:00,2017,jan,1,7,11,w1,156
07/01/2017 12:00,2017,jan,1,7,12,w1,157
07/01/2017 13:00,2017,jan,1,7,13,w1,158
07/01/2017 14:00,2017,jan,1,7,14,w1,159
07/01/2017 15:00,2017,jan,1,7,15,w1,160
07/01/2017 16:00,2017,jan,1,7,16,w1,161
07/01/2017 17:00,2017,jan,1,7,17,w1,162
07/01/2017 18:00,2017,jan,1,7,18,w1,163
07/01/2017 19:00,2017,jan,1,7,19,w1,164
07/01/2017 20:00,2017,jan,1,7,20,w1,165
07/01/2017 21:00,2017,jan,1,7,21,w1,166
