year,country_sym,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2018,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2019,CH, Nuclear ,0.51,0.6,0.85,0.85,0.83,0.56,0.8,0.68,0.55,0.51,0.51,0.63
2019,BE, Nuclear ,0.82,0.84,0.79,0.48,0.6,0.84,0.93,0.93,0.85,0.66,0.68,0.83
2019,CZ, Nuclear ,0.81,0.75,0.77,0.86,0.7,0.59,0.53,0.72,0.82,0.86,0.9,0.77
2019,DE, Nuclear ,0.81,0.71,0.68,0.69,0.8,0.93,0.75,1,0.93,1.04,1.01,1.02
2019,ES, Nuclear ,1,1,1,0.96,0.78,0.79,0.83,0.96,0.92,0.81,0.7,0.95
2019,FR, Nuclear ,0.86,0.79,0.73,0.7,0.64,0.59,0.6,0.61,0.65,0.6,0.67,0.8
2019,GB, Nuclear ,0.8,0.88,0.8,0.76,0.82,0.88,0.79,0.85,0.84,0.81,0.75,0.73
2019,HU, Nuclear ,1,0.76,0.99,1.01,0.99,0.98,0.93,0.73,0.82,1,0.76,1.01
2019,NL, Nuclear ,1,1,0.98,0.79,1.57,1.06,0.48,0.93,0.98,0.92,0.99,1
2019,SE, Nuclear ,1.05,1.06,1.03,0.99,0.89,0.72,0.67,0.57,0.51,0.65,0.93,1
2019,SI, Nuclear ,0.99,0.94,1,0.94,0.99,0.97,0.97,0.96,0.98,1,1,1
2019,SK, Nuclear ,0.91,0.92,0.86,0.69,0.67,0.69,0.84,0.86,0.9,0.75,0.92,0.91
2019, CZ , Lignite ,0.55,0.54,0.49,0.5,0.38,0.33,0.3,0.37,0.47,0.49,0.53,0.47
2019, DE , Lignite ,0.79,0.78,0.78,0.76,0.74,0.71,0.71,0.76,0.73,0.7,0.79,0.68
2019, ES , Lignite ,3.44,2.61,1.69,2.01,2.99,3.44,3.75,3.06,3,3.04,3.24,3.08
2019, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2019, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2019, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2019, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2019,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2019,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2019,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2019,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2019,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2019,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2019,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2019,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2020,CH, Nuclear ,0.51,0.6,0.85,0.85,0.83,0.56,0.8,0.68,0.55,0.51,0.51,0.63
2020,BE, Nuclear ,0.82,0.84,0.79,0.48,0.6,0.84,0.93,0.93,0.85,0.66,0.68,0.83
2020,CZ, Nuclear ,0.81,0.75,0.77,0.86,0.7,0.59,0.53,0.72,0.82,0.86,0.9,0.77
2020,DE, Nuclear ,0.81,0.71,0.68,0.69,0.8,0.93,0.75,1,0.93,1.04,1.01,1.02
2020,ES, Nuclear ,1,1,1,0.96,0.78,0.79,0.83,0.96,0.92,0.81,0.7,0.95
2020,FR, Nuclear ,0.86,0.79,0.73,0.7,0.64,0.59,0.6,0.61,0.65,0.6,0.67,0.8
2020,GB, Nuclear ,0.8,0.88,0.8,0.76,0.82,0.88,0.79,0.85,0.84,0.81,0.75,0.73
2020,HU, Nuclear ,1,0.76,0.99,1.01,0.99,0.98,0.93,0.73,0.82,1,0.76,1.01
2020,NL, Nuclear ,1,1,0.98,0.79,1.57,1.06,0.48,0.93,0.98,0.92,0.99,1
2020,SE, Nuclear ,1.05,1.06,1.03,0.99,0.89,0.72,0.67,0.57,0.51,0.65,0.93,1
2020,SI, Nuclear ,0.99,0.94,1,0.94,0.99,0.97,0.97,0.96,0.98,1,1,1
2020,SK, Nuclear ,0.91,0.92,0.86,0.69,0.67,0.69,0.84,0.86,0.9,0.75,0.92,0.91
2020, CZ , Lignite ,0.55,0.54,0.49,0.5,0.38,0.33,0.3,0.37,0.47,0.49,0.53,0.47
2020, DE , Lignite ,0.79,0.78,0.78,0.76,0.74,0.71,0.71,0.76,0.73,0.7,0.79,0.68
2020, ES , Lignite ,3.44,2.61,1.69,2.01,2.99,3.44,3.75,3.06,3,3.04,3.24,3.08
2020, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2020, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2020, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2020, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2020,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2020,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2020,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2020,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2020,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2020,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2020,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2020,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2021,CH, Nuclear ,0.51,0.6,0.85,0.85,0.83,0.56,0.8,0.68,0.55,0.51,0.51,0.63
2021,BE, Nuclear ,0.82,0.84,0.79,0.48,0.6,0.84,0.93,0.93,0.85,0.66,0.68,0.83
2021,CZ, Nuclear ,0.81,0.75,0.77,0.86,0.7,0.59,0.53,0.72,0.82,0.86,0.9,0.77
2021,DE, Nuclear ,0.81,0.71,0.68,0.69,0.8,0.93,0.75,1,0.93,1.04,1.01,1.02
2021,ES, Nuclear ,1,1,1,0.96,0.78,0.79,0.83,0.96,0.92,0.81,0.7,0.95
2021,FR, Nuclear ,0.86,0.79,0.73,0.7,0.64,0.59,0.6,0.61,0.65,0.6,0.67,0.8
2021,GB, Nuclear ,0.8,0.88,0.8,0.76,0.82,0.88,0.79,0.85,0.84,0.81,0.75,0.73
2021,HU, Nuclear ,1,0.76,0.99,1.01,0.99,0.98,0.93,0.73,0.82,1,0.76,1.01
2021,NL, Nuclear ,1,1,0.98,0.79,1.57,1.06,0.48,0.93,0.98,0.92,0.99,1
2021,SE, Nuclear ,1.05,1.06,1.03,0.99,0.89,0.72,0.67,0.57,0.51,0.65,0.93,1
2021,SI, Nuclear ,0.99,0.94,1,0.94,0.99,0.97,0.97,0.96,0.98,1,1,1
2021,SK, Nuclear ,0.91,0.92,0.86,0.69,0.67,0.69,0.84,0.86,0.9,0.75,0.92,0.91
2021, CZ , Lignite ,0.55,0.54,0.49,0.5,0.38,0.33,0.3,0.37,0.47,0.49,0.53,0.47
2021, DE , Lignite ,0.79,0.78,0.78,0.76,0.74,0.71,0.71,0.76,0.73,0.7,0.79,0.68
2021, ES , Lignite ,3.44,2.61,1.69,2.01,2.99,3.44,3.75,3.06,3,3.04,3.24,3.08
2021, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2021, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2021, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2021, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2021,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2021,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2021,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2021,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2021,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2021,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2021,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2021,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2025,CH,Nuclear,0.7,0.76,0.87,0.86,0.85,0.59,0.82,0.54,0.51,0.51,0.52,0.58
2025,BE,Nuclear,0.89,0.89,0.84,0.67,0.62,0.69,0.74,0.75,0.63,0.47,0.53,0.66
2025,CZ,Nuclear,0.77,0.76,0.84,0.83,0.79,0.68,0.58,0.64,0.65,0.72,0.8,0.77
2025,DE,Nuclear,0.89,0.89,0.84,0.7,0.7,0.84,0.8,0.93,0.88,0.94,0.96,0.92
2025,ES,Nuclear,0.91,0.91,0.92,0.88,0.73,0.79,0.86,0.95,0.94,0.9,0.71,0.84
2025,FR,Nuclear,0.87,0.84,0.76,0.68,0.64,0.62,0.61,0.59,0.63,0.63,0.69,0.8
2025,GB,Nuclear,0.81,0.85,0.78,0.76,0.78,0.83,0.81,0.84,0.83,0.76,0.77,0.77
2025,HU,Nuclear,1,0.92,0.94,1,0.88,0.86,0.96,0.78,0.93,0.93,0.77,0.92
2025,NL,Nuclear,0.94,0.92,0.9,0.79,0.71,0.57,0.68,0.61,0.71,0.88,0.85,0.91
2025,SE,Nuclear,0.97,0.99,0.97,0.91,0.76,0.67,0.73,0.66,0.63,0.77,0.88,0.97
2025,SI,Nuclear,1,0.99,1,0.97,0.97,0.98,0.97,0.96,0.98,0.99,0.92,1
2025,SK,Nuclear,0.91,0.92,0.88,0.72,0.63,0.63,0.84,0.87,0.83,0.73,0.91,0.91
2025,CZ,Lignite,0.56,0.53,0.52,0.44,0.39,0.38,0.38,0.39,0.45,0.49,0.53,0.5
2025,DE,Lignite,0.8,0.81,0.77,0.74,0.7,0.72,0.73,0.74,0.74,0.73,0.78,0.68
2025,ES,Lignite,0.64,0.61,0.59,0.49,0.47,0.47,0.55,0.54,0.54,0.58,0.61,0.57
2025,HU,Lignite,0.6,0.55,0.58,0.32,0.39,0.39,0.55,0.62,0.62,0.62,0.6,0.52
2025,PL,Lignite,0.66,0.66,0.63,0.58,0.61,0.63,0.69,0.65,0.64,0.59,0.64,0.61
2025,SI,Lignite,0.65,0.59,0.54,0.43,0.34,0.34,0.57,0.53,0.51,0.6,0.56,0.54
2025,SK,Lignite,0.55,0.54,0.49,0.41,0.38,0.38,0.37,0.29,0.3,0.47,0.53,0.55
2025,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2025,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2025,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2025,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2025,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2025,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2025,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2025,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2030,CH,Nuclear,0.7,0.76,0.87,0.86,0.85,0.59,0.82,0.54,0.51,0.51,0.52,0.58
2030,BE,Nuclear,0.89,0.89,0.84,0.67,0.62,0.69,0.74,0.75,0.63,0.47,0.53,0.66
2030,CZ,Nuclear,0.77,0.76,0.84,0.83,0.79,0.68,0.58,0.64,0.65,0.72,0.8,0.77
2030,DE,Nuclear,0.89,0.89,0.84,0.7,0.7,0.84,0.8,0.93,0.88,0.94,0.96,0.92
2030,ES,Nuclear,0.91,0.91,0.92,0.88,0.73,0.79,0.86,0.95,0.94,0.9,0.71,0.84
2030,FR,Nuclear,0.87,0.84,0.76,0.68,0.64,0.62,0.61,0.59,0.63,0.63,0.69,0.8
2030,GB,Nuclear,0.81,0.85,0.78,0.76,0.78,0.83,0.81,0.84,0.83,0.76,0.77,0.77
2030,HU,Nuclear,1,0.92,0.94,1,0.88,0.86,0.96,0.78,0.93,0.93,0.77,0.92
2030,NL,Nuclear,0.94,0.92,0.9,0.79,0.71,0.57,0.68,0.61,0.71,0.88,0.85,0.91
2030,SE,Nuclear,0.97,0.99,0.97,0.91,0.76,0.67,0.73,0.66,0.63,0.77,0.88,0.97
2030,SI,Nuclear,1,0.99,1,0.97,0.97,0.98,0.97,0.96,0.98,0.99,0.92,1
2030,SK,Nuclear,0.91,0.92,0.88,0.72,0.63,0.63,0.84,0.87,0.83,0.73,0.91,0.91
2030,CZ,Lignite,0.56,0.53,0.52,0.44,0.39,0.38,0.38,0.39,0.45,0.49,0.53,0.5
2030,DE,Lignite,0.8,0.81,0.77,0.74,0.7,0.72,0.73,0.74,0.74,0.73,0.78,0.68
2030,ES,Lignite,0.64,0.61,0.59,0.49,0.47,0.47,0.55,0.54,0.54,0.58,0.61,0.57
2030,HU,Lignite,0.6,0.55,0.58,0.32,0.39,0.39,0.55,0.62,0.62,0.62,0.6,0.52
2030,PL,Lignite,0.66,0.66,0.63,0.58,0.61,0.63,0.69,0.65,0.64,0.59,0.64,0.61
2030,SI,Lignite,0.65,0.59,0.54,0.43,0.34,0.34,0.57,0.53,0.51,0.6,0.56,0.54
2030,SK,Lignite,0.55,0.54,0.49,0.41,0.38,0.38,0.37,0.29,0.3,0.47,0.53,0.55
2030,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2030,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2030,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2030,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2030,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2030,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2030,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2030,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2035,CH,Nuclear,0.7,0.76,0.87,0.86,0.85,0.59,0.82,0.54,0.51,0.51,0.52,0.58
2035,BE,Nuclear,0.89,0.89,0.84,0.67,0.62,0.69,0.74,0.75,0.63,0.47,0.53,0.66
2035,CZ,Nuclear,0.77,0.76,0.84,0.83,0.79,0.68,0.58,0.64,0.65,0.72,0.8,0.77
2035,DE,Nuclear,0.89,0.89,0.84,0.7,0.7,0.84,0.8,0.93,0.88,0.94,0.96,0.92
2035,ES,Nuclear,0.91,0.91,0.92,0.88,0.73,0.79,0.86,0.95,0.94,0.9,0.71,0.84
2035,FR,Nuclear,0.87,0.84,0.76,0.68,0.64,0.62,0.61,0.59,0.63,0.63,0.69,0.8
2035,GB,Nuclear,0.81,0.85,0.78,0.76,0.78,0.83,0.81,0.84,0.83,0.76,0.77,0.77
2035,HU,Nuclear,1,0.92,0.94,1,0.88,0.86,0.96,0.78,0.93,0.93,0.77,0.92
2035,NL,Nuclear,0.94,0.92,0.9,0.79,0.71,0.57,0.68,0.61,0.71,0.88,0.85,0.91
2035,SE,Nuclear,0.97,0.99,0.97,0.91,0.76,0.67,0.73,0.66,0.63,0.77,0.88,0.97
2035,SI,Nuclear,1,0.99,1,0.97,0.97,0.98,0.97,0.96,0.98,0.99,0.92,1
