year,country_sym,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2035,SK,Nuclear,0.91,0.92,0.88,0.72,0.63,0.63,0.84,0.87,0.83,0.73,0.91,0.91
2035,CZ,Lignite,0.56,0.53,0.52,0.44,0.39,0.38,0.38,0.39,0.45,0.49,0.53,0.5
2035,DE,Lignite,0.8,0.81,0.77,0.74,0.7,0.72,0.73,0.74,0.74,0.73,0.78,0.68
2035,ES,Lignite,0.64,0.61,0.59,0.49,0.47,0.47,0.55,0.54,0.54,0.58,0.61,0.57
2035,HU,Lignite,0.6,0.55,0.58,0.32,0.39,0.39,0.55,0.62,0.62,0.62,0.6,0.52
2035,PL,Lignite,0.66,0.66,0.63,0.58,0.61,0.63,0.69,0.65,0.64,0.59,0.64,0.61
2035,SI,Lignite,0.65,0.59,0.54,0.43,0.34,0.34,0.57,0.53,0.51,0.6,0.56,0.54
2035,SK,Lignite,0.55,0.54,0.49,0.41,0.38,0.38,0.37,0.29,0.3,0.47,0.53,0.55
2035,CH, Biomass ,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65
2035,CH, Coal ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2035,CH,Gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2035,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2035,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2035,CH, Oil ,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
2035,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2035,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2040,CH,Nuclear,0.7,0.76,0.87,0.86,0.85,0.59,0.82,0.54,0.51,0.51,0.52,0.58
2040,BE,Nuclear,0.89,0.89,0.84,0.67,0.62,0.69,0.74,0.75,0.63,0.47,0.53,0.66
2040,CZ,Nuclear,0.77,0.76,0.84,0.83,0.79,0.68,0.58,0.64,0.65,0.72,0.8,0.77
2040,DE,Nuclear,0.89,0.89,0.84,0.7,0.7,0.84,0.8,0.93,0.88,0.94,0.96,0.92
2040,ES,Nuclear,0.91,0.91,0.92,0.88,0.73,0.79,0.86,0.95,0.94,0.9,0.71,0.84
2040,FR,Nuclear,0.87,0.84,0.76,0.68,0.64,0.62,0.61,0.59,0.63,0.63,0.69,0.8
2040,GB,Nuclear,0.81,0.85,0.78,0.76,0.78,0.83,0.81,0.84,0.83,0.76,0.77,0.77
2040,HU,Nuclear,1,0.92,0.94,1,0.88,0.86,0.96,0.78,0.93,0.93,0.77,0.92
2040,NL,Nuclear,0.94,0.92,0.9,0.79,0.71,0.57,0.68,0.61,0.71,0.88,0.85,0.91
2040,SE,Nuclear,0.97,0.99,0.97,0.91,0.76,0.67,0.73,0.66,0.63,0.77,0.88,0.97
2040,SI,Nuclear,1,0.99,1,0.97,0.97,0.98,0.97,0.96,0.98,0.99,0.92,1
2040,SK,Nuclear,0.91,0.92,0.88,0.72,0.63,0.63,0.84,0.87,0.83,0.73,0.91,0.91
2040,CZ,Lignite,0.56,0.53,0.52,0.44,0.39,0.38,0.38,0.39,0.45,0.49,0.53,0.5
2040,DE,Lignite,0.8,0.81,0.77,0.74,0.7,0.72,0.73,0.74,0.74,0.73,0.78,0.68
2040,ES,Lignite,0.64,0.61,0.59,0.49,0.47,0.47,0.55,0.54,0.54,0.58,0.61,0.57
2040,HU,Lignite,0.6,0.55,0.58,0.32,0.39,0.39,0.55,0.62,0.62,0.62,0.6,0.52
