,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
609,Historic,2019,AT,Biomass,Biomass,YES,499.8,0.36,0,2.6,0,AT_Biomass
610,Historic,2019,AT,Coal,Coal,YES,598,0.38,0.349,6.6,0,AT_Coal
611,Historic,2019,AT,Dam,Hydro,NO,2429.554,1,0,2.6,0,AT_Dam
612,Historic,2019,AT,Gas,Gas,YES,4463.2,0.53,0.21,4.6,0,AT_Gas
613,Historic,2019,AT,Lignite,Lignite,YES,0,0.37,0.36,8.3,0,AT_Lignite
614,Historic,2019,AT,Nuclear,Uran,NO,0,0.36,0,1.8,0,AT_Nuclear
615,Historic,2019,AT,Oil,Oil,YES,177.9,0.4,0.28,1.5,0,AT_Oil
616,Historic,2019,AT,Other,Other,NO,216,0.45,0.375,0,0,AT_Other
617,Historic,2019,AT,PSClosed,Hydro,NO,0,0.75,0,0,0,AT_PSClosed
618,Historic,2019,AT,PSOpen,Hydro,NO,3459.28,0.75,0,0,0,AT_PSOpen
619,Historic,2019,AT,RoR,Hydro,NO,5557.8,1,0,2.6,0,AT_RoR
620,Historic,2019,AT,Solar,RES,NO,1192.7,1,0,0,0,AT_Solar
621,Historic,2019,AT,WindOff,RES,NO,0,1,0,0,0,AT_WindOff
622,Historic,2019,AT,WindOn,RES,NO,3034.6,1,0,0,0,AT_WindOn
623,Historic,2019,BE,Biomass,Biomass,YES,619.25,0.36,0,2.6,0,BE_Biomass
624,Historic,2019,BE,Dam,Hydro,NO,0,1,0,2.6,0,BE_Dam
625,Historic,2019,BE,Gas,Gas,YES,6641.97,0.53,0.21,4.6,0,BE_Gas
626,Historic,2019,BE,Nuclear,Uran,NO,5943,0.36,0,1.8,0,BE_Nuclear
627,Historic,2019,BE,Oil,Oil,YES,242.13,0.4,0.28,1.5,0,BE_Oil
628,Historic,2019,BE,Other,Other,NO,380.64,0.45,0.375,0,0,BE_Other
629,Historic,2019,BE,PSClosed,Hydro,NO,1308,0.75,0,0,0,BE_PSClosed
630,Historic,2019,BE,PSOpen,Hydro,NO,0,0.75,0,0,0,BE_PSOpen
631,Historic,2019,BE,RoR,Hydro,NO,172.49,1,0,2.6,0,BE_RoR
632,Historic,2019,BE,Solar,RES,NO,3369.05,1,0,0,0,BE_Solar
633,Historic,2019,BE,WindOff,RES,NO,1548.2,1,0,0,0,BE_WindOff
634,Historic,2019,BE,WindOn,RES,NO,2248.08,1,0,0,0,BE_WindOn
635,Historic,2019,BG,Biomass,Biomass,YES,74,0.36,0,2.6,0,BG_Biomass
636,Historic,2019,BG,Coal,Coal,YES,356,0.38,0.349,6.6,0,BG_Coal
637,Historic,2019,BG,Dam,Hydro,NO,1347,1,0,2.6,0,BG_Dam
638,Historic,2019,BG,Gas,Gas,YES,1232,0.53,0.21,4.6,0,BG_Gas
639,Historic,2019,BG,Lignite,Lignite,YES,4119,0.37,0.36,8.3,0,BG_Lignite
640,Historic,2019,BG,Nuclear,Uran,NO,2000,0.36,0,1.8,0,BG_Nuclear
641,Historic,2019,BG,Other,Other,NO,6,0.45,0.375,0,0,BG_Other
642,Historic,2019,BG,PSClosed,Hydro,NO,864,0.75,0,0,0,BG_PSClosed
643,Historic,2019,BG,PSOpen,Hydro,NO,535,0.75,0,0,0,BG_PSOpen
644,Historic,2019,BG,RoR,Hydro,NO,537,1,0,2.6,0,BG_RoR
645,Historic,2019,BG,Solar,RES,NO,1059,1,0,0,0,BG_Solar
646,Historic,2019,BG,WindOn,RES,NO,700,1,0,0,0,BG_WindOn
647,Historic,2019,CH,Dam,Hydro,NO,8152,1,0,2.6,0,CH_Dam
648,Historic,2019,CH,Nuclear,Uran,NO,3373,0.36,0,1.8,0,CH_Nuclear
649,Historic,2019,CH,PSClosed,Hydro,NO,3989,0.75,0,0,0,CH_PSClosed
650,Historic,2019,CH,PSOpen,Hydro,NO,0,0.75,0,0,0,CH_PSOpen
651,Historic,2019,CH,RoR,Hydro,NO,634.5,1,0,2.6,0,CH_RoR
