scenario,year,node,from,to,ntc
Historic,2017,AT-CH,AT,CH,1200
Historic,2017,AT-CZ,AT,CZ,900
Historic,2017,AT-DE,AT,DE,5000
Historic,2017,AT-HU,AT,HU,600
Historic,2017,AT-IT,AT,IT,405
Historic,2017,AT-SI,AT,SI,800
Historic,2017,BE-FR,BE,FR,1800
Historic,2017,BE-NL,BE,NL,2400
Historic,2017,BG-GR,BG,GR,401
Historic,2017,BG-RO,BG,RO,300
Historic,2017,CH-AT,CH,AT,1200
Historic,2017,CH-DE,CH,DE,4600
Historic,2017,CH-FR,CH,FR,1180
Historic,2017,CH-IT,CH,IT,4240
Historic,2017,CZ-AT,CZ,AT,800
Historic,2017,CZ-DE,CZ,DE,2100
Historic,2017,CZ-PL,CZ,PL,600
Historic,2017,CZ-SK,CZ,SK,1824
Historic,2017,DE-AT,DE,AT,5000
Historic,2017,DE-CH,DE,CH,2700
Historic,2017,DE-CZ,DE,CZ,1500
Historic,2017,DE-DK,DE,DK,1897
Historic,2017,DE-FR,DE,FR,2300
Historic,2017,DE-NL,DE,NL,4250
Historic,2017,DE-PL,DE,PL,500
Historic,2017,DE-SE,DE,SE,600
Historic,2017,DK-DE,DK,DE,1026
Historic,2017,DK-NO,DK,NO,1223
Historic,2017,DK-SE,DK,SE,1739
Historic,2017,EE-FI,EE,FI,1006
Historic,2017,EE-LV,EE,LV,795
Historic,2017,ES-FR,ES,FR,2294
Historic,2017,ES-PT,ES,PT,1979
Historic,2017,FI-EE,FI,EE,1008
Historic,2017,FI-SE,FI,SE,2239
Historic,2017,FR-BE,FR,BE,3300
Historic,2017,FR-CH,FR,CH,3006
Historic,2017,FR-DE,FR,DE,1800
Historic,2017,FR-ES,FR,ES,2559
Historic,2017,FR-GB,FR,GB,1736
Historic,2017,FR-IT,FR,IT,2528
Historic,2017,GB-FR,GB,FR,1736
Historic,2017,GB-IE,GB,IE,974
Historic,2017,GB-NL,GB,NL,997
Historic,2017,GR-BG,GR,BG,364
Historic,2017,GR-IT,GR,IT,500
Historic,2017,HR-HU,HR,HU,1000
Historic,2017,HR-SI,HR,SI,1464
Historic,2017,HU-AT,HU,AT,600
Historic,2017,HU-HR,HU,HR,1200
Historic,2017,HU-RO,HU,RO,677
Historic,2017,HU-SK,HU,SK,792
Historic,2017,IE-GB,IE,GB,759
Historic,2017,IT-AT,IT,AT,235
Historic,2017,IT-CH,IT,CH,1910
Historic,2017,IT-FR,IT,FR,1019
Historic,2017,IT-GR,IT,GR,500
Historic,2017,IT-SI,IT,SI,649
Historic,2017,LT-LV,LT,LV,587
Historic,2017,LT-PL,LT,PL,377
Historic,2017,LT-SE,LT,SE,450
Historic,2017,LV-EE,LV,EE,649
Historic,2017,LV-LT,LV,LT,1044
Historic,2017,NL-BE,NL,BE,1400
Historic,2017,NL-DE,NL,DE,4250
Historic,2017,NL-GB,NL,GB,997
Historic,2017,NL-NO,NL,NO,691
Historic,2017,NO-DK,NO,DK,1223
Historic,2017,NO-NL,NO,NL,648
Historic,2017,NO-SE,NO,SE,2338
Historic,2017,PL-CZ,PL,CZ,800
Historic,2017,PL-DE,PL,DE,1000
Historic,2017,PL-LT,PL,LT,268
Historic,2017,PL-SE,PL,SE,180
Historic,2017,PL-SK,PL,SK,540
Historic,2017,PT-ES,PT,ES,2978
Historic,2017,RO-BG,RO,BG,263
Historic,2017,RO-HU,RO,HU,581
Historic,2017,SE-DE,SE,DE,610
Historic,2017,SE-DK,SE,DK,1811
Historic,2017,SE-FI,SE,FI,2697
Historic,2017,SE-LT,SE,LT,579
Historic,2017,SE-NO,SE,NO,2479
Historic,2017,SE-PL,SE,PL,466
Historic,2017,SI-AT,SI,AT,900
Historic,2017,SI-HR,SI,HR,1467
Historic,2017,SI-IT,SI,IT,548
Historic,2017,SK-CZ,SK,CZ,1200
Historic,2017,SK-HU,SK,HU,1117
Historic,2017,SK-PL,SK,PL,491
Historic,2017,BE-DE,BE,DE,1000
Historic,2017,DE-BE,DE,BE,1000
