,scenario,year,climateyear,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
547,Historic,2018,2018,PL,PSOpen,Hydro,NO,178.8,0.75,0.0,0.0,0.0,PL_PSOpen
548,Historic,2018,2018,PL,RoR,Hydro,NO,455.36,1.0,0.0,2.6,0.0,PL_RoR
549,Historic,2018,2018,PL,Solar,RES,NO,231.02,1.0,0.0,0.0,0.0,PL_Solar
550,Historic,2018,2018,PL,WindOn,RES,NO,5791.32,1.0,0.0,0.0,0.0,PL_WindOn
551,Historic,2018,2018,PT,Biomass,Biomass,YES,593.9,0.45,0.0,2.6,0.0,PT_Biomass
552,Historic,2018,2018,PT,Coal,Coal,YES,1756.0,0.46,0.383333,6.6,0.0,PT_Coal
553,Historic,2018,2018,PT,Dam,Hydro,NO,3491.5,1.0,0.0,2.6,0.0,PT_Dam
554,Historic,2018,2018,PT,Gas,Gas,YES,4620.7,0.6,0.227848,4.6,0.0,PT_Gas
555,Historic,2018,2018,PT,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,PT_Lignite
556,Historic,2018,2018,PT,Nuclear,Uran,NO,0.0,0.43,0.0,11.25,0.0,PT_Nuclear
557,Historic,2018,2018,PT,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,PT_Oil
558,Historic,2018,2018,PT,Other,Other,NO,40.0,0.45,0.375,0.0,0.0,PT_Other
559,Historic,2018,2018,PT,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,PT_PSClosed
560,Historic,2018,2018,PT,PSOpen,Hydro,NO,2952.0,0.75,0.0,0.0,0.0,PT_PSOpen
561,Historic,2018,2018,PT,RoR,Hydro,NO,2834.3,1.0,0.0,2.6,0.0,PT_RoR
562,Historic,2018,2018,PT,Solar,RES,NO,272.1,1.0,0.0,0.0,0.0,PT_Solar
563,Historic,2018,2018,PT,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,PT_WindOff
564,Historic,2018,2018,PT,WindOn,RES,NO,5072.8,1.0,0.0,0.0,0.0,PT_WindOn
565,Historic,2018,2018,RO,Biomass,Biomass,YES,116.0,0.45,0.0,2.6,0.0,RO_Biomass
566,Historic,2018,2018,RO,Coal,Coal,YES,1227.0,0.46,0.383333,6.6,0.0,RO_Coal
567,Historic,2018,2018,RO,Dam,Hydro,NO,2642.820041506078,1.0,0.0,2.6,0.0,RO_Dam
568,Historic,2018,2018,RO,Gas,Gas,YES,5142.0,0.6,0.227848,4.6,0.0,RO_Gas
569,Historic,2018,2018,RO,Lignite,Lignite,YES,4578.0,0.43,0.485379,8.3,0.0,RO_Lignite
570,Historic,2018,2018,RO,Nuclear,Uran,NO,1300.0,0.43,0.0,11.25,0.0,RO_Nuclear
571,Historic,2018,2018,RO,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,RO_PSClosed
572,Historic,2018,2018,RO,PSOpen,Hydro,NO,746.0,0.75,0.0,0.0,0.0,RO_PSOpen
573,Historic,2018,2018,RO,RoR,Hydro,NO,2687.0,1.0,0.0,2.6,0.0,RO_RoR
574,Historic,2018,2018,RO,Solar,RES,NO,1211.0,1.0,0.0,0.0,0.0,RO_Solar
575,Historic,2018,2018,RO,WindOn,RES,NO,2987.0,1.0,0.0,0.0,0.0,RO_WindOn
576,Historic,2018,2018,SE,Dam,Hydro,NO,15593.838537513036,1.0,0.0,2.6,0.0,SE_Dam
577,Historic,2018,2018,SE,Nuclear,Uran,NO,8603.0,0.43,0.0,11.25,0.0,SE_Nuclear
578,Historic,2018,2018,SE,Other,Other,NO,7870.0,0.45,0.375,0.0,0.0,SE_Other
579,Historic,2018,2018,SE,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,SE_PSClosed
580,Historic,2018,2018,SE,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,SE_PSOpen
581,Historic,2018,2018,SE,WindOn,RES,NO,6247.0,1.0,0.0,0.0,0.0,SE_WindOn
582,Historic,2018,2018,SI,Biomass,Biomass,YES,17.0,0.45,0.0,2.6,0.0,SI_Biomass
583,Historic,2018,2018,SI,Coal,Coal,YES,0.0,0.46,0.383333,6.6,0.0,SI_Coal
584,Historic,2018,2018,SI,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,SI_Dam
585,Historic,2018,2018,SI,Gas,Gas,YES,491.0,0.6,0.227848,4.6,0.0,SI_Gas
586,Historic,2018,2018,SI,Lignite,Lignite,YES,924.0,0.43,0.485379,8.3,0.0,SI_Lignite
587,Historic,2018,2018,SI,Nuclear,Uran,NO,696.0,0.43,0.0,11.25,0.0,SI_Nuclear
588,Historic,2018,2018,SI,Oil,Oil,YES,58.0,0.4,0.32,1.5,0.0,SI_Oil
589,Historic,2018,2018,SI,Other,Other,NO,41.0,0.45,0.375,0.0,0.0,SI_Other
590,Historic,2018,2018,SI,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,SI_PSClosed
591,Historic,2018,2018,SI,PSOpen,Hydro,NO,185.0,0.75,0.0,0.0,0.0,SI_PSOpen
592,Historic,2018,2018,SI,RoR,Hydro,NO,1053.0,1.0,0.0,2.6,0.0,SI_RoR
593,Historic,2018,2018,SI,Solar,RES,NO,275.34,1.0,0.0,0.0,0.0,SI_Solar
594,Historic,2018,2018,SI,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,SI_WindOff
595,Historic,2018,2018,SI,WindOn,RES,NO,3.0,1.0,0.0,0.0,0.0,SI_WindOn
596,Historic,2018,2018,SK,Biomass,Biomass,YES,224.0,0.45,0.0,2.6,0.0,SK_Biomass
597,Historic,2018,2018,SK,Coal,Coal,YES,221.0,0.46,0.383333,6.6,0.0,SK_Coal
598,Historic,2018,2018,SK,Dam,Hydro,NO,418.0,1.0,0.0,2.6,0.0,SK_Dam
599,Historic,2018,2018,SK,Gas,Gas,YES,1111.0,0.6,0.227848,4.6,0.0,SK_Gas
600,Historic,2018,2018,SK,Lignite,Lignite,YES,345.0,0.43,0.485379,8.3,0.0,SK_Lignite
601,Historic,2018,2018,SK,Nuclear,Uran,NO,1940.0,0.43,0.0,11.25,0.0,SK_Nuclear
602,Historic,2018,2018,SK,Oil,Oil,YES,257.0,0.4,0.32,1.5,0.0,SK_Oil
603,Historic,2018,2018,SK,Other,Other,NO,554.0,0.45,0.375,0.0,0.0,SK_Other
604,Historic,2018,2018,SK,PSClosed,Hydro,NO,649.86,0.75,0.0,0.0,0.0,SK_PSClosed
605,Historic,2018,2018,SK,PSOpen,Hydro,NO,276.0,0.75,0.0,0.0,0.0,SK_PSOpen
606,Historic,2018,2018,SK,RoR,Hydro,NO,1208.0,1.0,0.0,2.6,0.0,SK_RoR
607,Historic,2018,2018,SK,Solar,RES,NO,531.0,1.0,0.0,0.0,0.0,SK_Solar
608,Historic,2018,2018,SK,WindOn,RES,NO,3.0,1.0,0.0,0.0,0.0,SK_WindOn
