,scenario,year,climateyear,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
353,Historic,2018,2018,CZ,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,CZ_Oil
354,Historic,2018,2018,CZ,Other,Other,NO,500.0,0.45,0.375,0.0,0.0,CZ_Other
355,Historic,2018,2018,CZ,PSClosed,Hydro,NO,688.1,0.75,0.0,0.0,0.0,CZ_PSClosed
356,Historic,2018,2018,CZ,PSOpen,Hydro,NO,470.4,0.75,0.0,0.0,0.0,CZ_PSOpen
357,Historic,2018,2018,CZ,RoR,Hydro,NO,334.0,1.0,0.0,2.6,0.0,CZ_RoR
358,Historic,2018,2018,CZ,Solar,RES,NO,2040.0,1.0,0.0,0.0,0.0,CZ_Solar
359,Historic,2018,2018,CZ,WindOn,RES,NO,308.0,1.0,0.0,0.0,0.0,CZ_WindOn
360,Historic,2018,2018,DE,Biomass,Biomass,YES,7396.49,0.45,0.0,2.6,0.0,DE_Biomass
361,Historic,2018,2018,DE,Coal,Coal,YES,25035.0,0.46,0.383333,6.6,0.0,DE_Coal
362,Historic,2018,2018,DE,Dam,Hydro,NO,1438.890600924499,1.0,0.0,2.6,0.0,DE_Dam
363,Historic,2018,2018,DE,Gas,Gas,YES,31361.0,0.6,0.227848,4.6,0.0,DE_Gas
364,Historic,2018,2018,DE,Lignite,Lignite,YES,21275.0,0.43,0.485379,8.3,0.0,DE_Lignite
365,Historic,2018,2018,DE,Nuclear,Uran,NO,9516.0,0.43,0.0,11.25,0.0,DE_Nuclear
366,Historic,2018,2018,DE,Oil,Oil,YES,4271.0,0.4,0.32,1.5,0.0,DE_Oil
367,Historic,2018,2018,DE,Other,Other,NO,3638.5,0.45,0.375,0.0,0.0,DE_Other
368,Historic,2018,2018,DE,PSClosed,Hydro,NO,6972.166826576098,0.75,0.0,0.0,0.0,DE_PSClosed
369,Historic,2018,2018,DE,PSOpen,Hydro,NO,1556.101311823392,0.75,0.0,0.0,0.0,DE_PSOpen
370,Historic,2018,2018,DE,RoR,Hydro,NO,3860.06,1.0,0.0,2.6,0.0,DE_RoR
371,Historic,2018,2018,DE,Solar,RES,NO,42804.25,1.0,0.0,0.0,0.0,DE_Solar
372,Historic,2018,2018,DE,WindOff,RES,NO,5051.0,1.0,0.0,0.0,0.0,DE_WindOff
373,Historic,2018,2018,DE,WindOn,RES,NO,51633.0,1.0,0.0,0.0,0.0,DE_WindOn
374,Historic,2018,2018,DK,Biomass,Biomass,YES,1696.0,0.45,0.0,2.6,0.0,DK_Biomass
375,Historic,2018,2018,DK,Coal,Coal,YES,3656.0,0.46,0.383333,6.6,0.0,DK_Coal
376,Historic,2018,2018,DK,Gas,Gas,YES,1826.0,0.6,0.227848,4.6,0.0,DK_Gas
377,Historic,2018,2018,DK,Oil,Oil,YES,1007.0,0.4,0.32,1.5,0.0,DK_Oil
378,Historic,2018,2018,DK,Other,Other,NO,530.0,0.45,0.375,0.0,0.0,DK_Other
379,Historic,2018,2018,DK,RoR,Hydro,NO,6.0,1.0,0.0,2.6,0.0,DK_RoR
380,Historic,2018,2018,DK,Solar,RES,NO,1002.0,1.0,0.0,0.0,0.0,DK_Solar
381,Historic,2018,2018,DK,WindOff,RES,NO,1700.0,1.0,0.0,0.0,0.0,DK_WindOff
382,Historic,2018,2018,DK,WindOn,RES,NO,4423.0,1.0,0.0,0.0,0.0,DK_WindOn
383,Historic,2018,2018,EE,Biomass,Biomass,YES,102.0,0.45,0.0,2.6,0.0,EE_Biomass
384,Historic,2018,2018,EE,Coal,Coal,YES,0.0,0.46,0.383333,6.6,0.0,EE_Coal
385,Historic,2018,2018,EE,Gas,Gas,YES,204.0,0.6,0.227848,4.6,0.0,EE_Gas
386,Historic,2018,2018,EE,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,EE_Lignite
387,Historic,2018,2018,EE,Nuclear,Uran,NO,0.0,0.43,0.0,11.25,0.0,EE_Nuclear
388,Historic,2018,2018,EE,Oil,Oil,YES,1976.0,0.4,0.32,1.5,0.0,EE_Oil
389,Historic,2018,2018,EE,Other,Other,NO,24.0,0.45,0.375,0.0,0.0,EE_Other
390,Historic,2018,2018,EE,RoR,Hydro,NO,8.0,1.0,0.0,2.6,0.0,EE_RoR
391,Historic,2018,2018,EE,Solar,RES,NO,1.4,1.0,0.0,0.0,0.0,EE_Solar
392,Historic,2018,2018,EE,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,EE_WindOff
393,Historic,2018,2018,EE,WindOn,RES,NO,487.0,1.0,0.0,0.0,0.0,EE_WindOn
394,Historic,2018,2018,ES,Biomass,Biomass,YES,519.9,0.45,0.0,2.6,0.0,ES_Biomass
395,Historic,2018,2018,ES,Coal,Coal,YES,9534.7,0.46,0.383333,6.6,0.0,ES_Coal
396,Historic,2018,2018,ES,Dam,Hydro,NO,10958.082190349842,1.0,0.0,2.6,0.0,ES_Dam
397,Historic,2018,2018,ES,Gas,Gas,YES,30682.9,0.6,0.227848,4.6,0.0,ES_Gas
398,Historic,2018,2018,ES,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,ES_Lignite
399,Historic,2018,2018,ES,Nuclear,Uran,NO,7117.2,0.43,0.0,11.25,0.0,ES_Nuclear
400,Historic,2018,2018,ES,Oil,Oil,YES,715.2,0.4,0.32,1.5,0.0,ES_Oil
401,Historic,2018,2018,ES,Other,Other,NO,923.2,0.45,0.375,0.0,0.0,ES_Other
402,Historic,2018,2018,ES,PSClosed,Hydro,NO,3330.0,0.75,0.0,0.0,0.0,ES_PSClosed
403,Historic,2018,2018,ES,PSOpen,Hydro,NO,2683.0,0.75,0.0,0.0,0.0,ES_PSOpen
404,Historic,2018,2018,ES,RoR,Hydro,NO,1156.2,1.0,0.0,2.6,0.0,ES_RoR
405,Historic,2018,2018,ES,Solar,RES,NO,6722.4,1.0,0.0,0.0,0.0,ES_Solar
406,Historic,2018,2018,ES,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,ES_WindOff
407,Historic,2018,2018,ES,WindOn,RES,NO,22834.1,1.0,0.0,0.0,0.0,ES_WindOn
408,Historic,2018,2018,FI,Biomass,Biomass,YES,1813.0,0.45,0.0,2.6,0.0,FI_Biomass
409,Historic,2018,2018,FI,Coal,Coal,YES,2278.0,0.46,0.383333,6.6,0.0,FI_Coal
410,Historic,2018,2018,FI,Dam,Hydro,NO,3200.0,1.0,0.0,2.6,0.0,FI_Dam
411,Historic,2018,2018,FI,Gas,Gas,YES,1865.0,0.6,0.227848,4.6,0.0,FI_Gas
412,Historic,2018,2018,FI,Nuclear,Uran,NO,2782.0,0.43,0.0,11.25,0.0,FI_Nuclear
413,Historic,2018,2018,FI,Oil,Oil,YES,2521.0,0.4,0.32,1.5,0.0,FI_Oil
414,Historic,2018,2018,FI,Other,Other,NO,776.0,0.45,0.375,0.0,0.0,FI_Other
415,Historic,2018,2018,FI,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,FI_PSClosed
416,Historic,2018,2018,FI,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,FI_PSOpen
417,Historic,2018,2018,FI,RoR,Hydro,NO,3149.0,1.0,0.0,2.6,0.0,FI_RoR
418,Historic,2018,2018,FI,WindOn,RES,NO,1908.0,1.0,0.0,0.0,0.0,FI_WindOn
419,Historic,2018,2018,FR,Biomass,Biomass,YES,1840.0,0.45,0.0,2.6,0.0,FR_Biomass
420,Historic,2018,2018,FR,Coal,Coal,YES,3972.0,0.46,0.383333,6.6,0.0,FR_Coal
421,Historic,2018,2018,FR,Dam,Hydro,NO,8783.150863630874,1.0,0.0,2.6,0.0,FR_Dam
422,Historic,2018,2018,FR,Gas,Gas,YES,11812.0,0.6,0.227848,4.6,0.0,FR_Gas
423,Historic,2018,2018,FR,Nuclear,Uran,NO,63130.0,0.43,0.0,11.25,0.0,FR_Nuclear
424,Historic,2018,2018,FR,Oil,Oil,YES,6263.0,0.4,0.32,1.5,0.0,FR_Oil
425,Historic,2018,2018,FR,Other,Other,NO,415.0,0.45,0.375,0.0,0.0,FR_Other
426,Historic,2018,2018,FR,PSClosed,Hydro,NO,1948.8353573561617,0.75,0.0,0.0,0.0,FR_PSClosed
427,Historic,2018,2018,FR,PSOpen,Hydro,NO,1848.8950826199482,0.75,0.0,0.0,0.0,FR_PSOpen
428,Historic,2018,2018,FR,RoR,Hydro,NO,11222.0,1.0,0.0,2.6,0.0,FR_RoR
429,Historic,2018,2018,FR,Solar,RES,NO,7170.0,1.0,0.0,0.0,0.0,FR_Solar
430,Historic,2018,2018,FR,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,FR_WindOff
431,Historic,2018,2018,FR,WindOn,RES,NO,12518.0,1.0,0.0,0.0,0.0,FR_WindOn
432,Historic,2018,2018,GB,Biomass,Biomass,YES,2099.0,0.45,0.0,2.6,0.0,GB_Biomass
433,Historic,2018,2018,GB,Coal,Coal,YES,10913.0,0.46,0.383333,6.6,0.0,GB_Coal
434,Historic,2018,2018,GB,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,GB_Dam
435,Historic,2018,2018,GB,Gas,Gas,YES,27206.0,0.6,0.227848,4.6,0.0,GB_Gas
436,Historic,2018,2018,GB,Nuclear,Uran,NO,8974.0,0.43,0.0,11.25,0.0,GB_Nuclear
437,Historic,2018,2018,GB,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,GB_Oil
438,Historic,2018,2018,GB,Other,Other,NO,11440.0,0.45,0.375,0.0,0.0,GB_Other
439,Historic,2018,2018,GB,PSClosed,Hydro,NO,2744.0,0.75,0.0,0.0,0.0,GB_PSClosed
