,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
915,Historic,2020,AT,Biomass,Biomass,YES,497,0.36,0,2.6,0,AT_Biomass
916,Historic,2020,AT,Coal,Coal,YES,246,0.38,0.35,6.6,0,AT_Coal
917,Historic,2020,AT,Dam,Hydro,NO,2425.67006,1,0,2.6,0,AT_Dam
918,Historic,2020,AT,Gas,Gas,YES,4015.3,0.53,0.21,4.6,0,AT_Gas
919,Historic,2020,AT,Lignite,Lignite,YES,0,0.37,0.36,8.3,0,AT_Lignite
920,Historic,2020,AT,Nuclear,Uran,NO,0,0.36,0,1.8,0,AT_Nuclear
921,Historic,2020,AT,Oil,Oil,YES,177.9,0.4,0.28,1.5,0,AT_Oil
922,Historic,2020,AT,Other,Other,NO,272.8,0.45,0.375,0,0,AT_Other
923,Historic,2020,AT,PSClosed,Hydro,NO,0,0.75,0,0,0,AT_PSClosed
924,Historic,2020,AT,PSOpen,Hydro,NO,3459.28,0.75,0,0,0,AT_PSOpen
925,Historic,2020,AT,RoR,Hydro,NO,5724,1,0,2.6,0,AT_RoR
926,Historic,2020,AT,Solar,RES,NO,1333,1,0,0,0,AT_Solar
927,Historic,2020,AT,WindOff,RES,NO,0,1,0,0,0,AT_WindOff
928,Historic,2020,AT,WindOn,RES,NO,3133,1,0,0,0,AT_WindOn
929,Historic,2020,BE,Biomass,Biomass,YES,647.39,0.36,0,2.6,0,BE_Biomass
930,Historic,2020,BE,Dam,Hydro,NO,0,1,0,2.6,0,BE_Dam
931,Historic,2020,BE,Gas,Gas,YES,6798.85,0.53,0.21,4.6,0,BE_Gas
932,Historic,2020,BE,Nuclear,Uran,NO,5943,0.36,0,1.8,0,BE_Nuclear
933,Historic,2020,BE,Oil,Oil,YES,246.28,0.4,0.28,1.5,0,BE_Oil
934,Historic,2020,BE,Other,Other,NO,380.64,0.45,0.375,0,0,BE_Other
935,Historic,2020,BE,PSClosed,Hydro,NO,1308,0.75,0,0,0,BE_PSClosed
936,Historic,2020,BE,PSOpen,Hydro,NO,0,0.75,0,0,0,BE_PSOpen
937,Historic,2020,BE,RoR,Hydro,NO,175.34,1,0,2.6,0,BE_RoR
938,Historic,2020,BE,Solar,RES,NO,3886.6,1,0,0,0,BE_Solar
939,Historic,2020,BE,WindOff,RES,NO,2254.4,1,0,0,0,BE_WindOff
940,Historic,2020,BE,WindOn,RES,NO,2416.43,1,0,0,0,BE_WindOn
941,Historic,2020,BG,Biomass,Biomass,YES,74,0.36,0,2.6,0,BG_Biomass
942,Historic,2020,BG,Coal,Coal,YES,356,0.38,0.35,6.6,0,BG_Coal
943,Historic,2020,BG,Dam,Hydro,NO,1347,1,0,2.6,0,BG_Dam
944,Historic,2020,BG,Gas,Gas,YES,1232,0.53,0.21,4.6,0,BG_Gas
945,Historic,2020,BG,Lignite,Lignite,YES,4119,0.37,0.36,8.3,0,BG_Lignite
946,Historic,2020,BG,Nuclear,Uran,NO,2000,0.36,0,1.8,0,BG_Nuclear
947,Historic,2020,BG,Other,Other,NO,6,0.45,0.375,0,0,BG_Other
948,Historic,2020,BG,PSClosed,Hydro,NO,864,0.75,0,0,0,BG_PSClosed
949,Historic,2020,BG,PSOpen,Hydro,NO,535,0.75,0,0,0,BG_PSOpen
950,Historic,2020,BG,RoR,Hydro,NO,537,1,0,2.6,0,BG_RoR
951,Historic,2020,BG,Solar,RES,NO,1084,1,0,0,0,BG_Solar
952,Historic,2020,BG,WindOn,RES,NO,700,1,0,0,0,BG_WindOn
953,Historic,2020,CH,Dam,Hydro,NO,8146.28331,1,0,2.6,0,CH_Dam
954,Historic,2020,CH,Nuclear,Uran,NO,2970,0.36,0,1.8,0,CH_Nuclear
955,Historic,2020,CH,PSClosed,Hydro,NO,4007.62138,0.75,0,0,0,CH_PSClosed
956,Historic,2020,CH,PSOpen,Hydro,NO,0,0.75,0,0,0,CH_PSOpen
957,Historic,2020,CH,RoR,Hydro,NO,634.5,1,0,2.6,0,CH_RoR
958,Historic,2020,CZ,Biomass,Biomass,YES,410,0.36,0,2.6,0,CZ_Biomass
959,Historic,2020,CZ,Coal,Coal,YES,1200,0.38,0.35,6.6,0,CZ_Coal
960,Historic,2020,CZ,Dam,Hydro,NO,697.7,1,0,2.6,0,CZ_Dam
961,Historic,2020,CZ,Gas,Gas,YES,1606,0.53,0.21,4.6,0,CZ_Gas
962,Historic,2020,CZ,Lignite,Lignite,YES,8150,0.37,0.36,8.3,0,CZ_Lignite
963,Historic,2020,CZ,Nuclear,Uran,NO,4040,0.36,0,1.8,0,CZ_Nuclear
964,Historic,2020,CZ,Oil,Oil,YES,0,0.4,0.28,1.5,0,CZ_Oil
965,Historic,2020,CZ,Other,Other,NO,510,0.45,0.375,0,0,CZ_Other
966,Historic,2020,CZ,PSClosed,Hydro,NO,688.1,0.75,0,0,0,CZ_PSClosed
967,Historic,2020,CZ,PSOpen,Hydro,NO,470.4,0.75,0,0,0,CZ_PSOpen
968,Historic,2020,CZ,RoR,Hydro,NO,334,1,0,2.6,0,CZ_RoR
969,Historic,2020,CZ,Solar,RES,NO,2061,1,0,0,0,CZ_Solar
970,Historic,2020,CZ,WindOn,RES,NO,339,1,0,0,0,CZ_WindOn
971,Historic,2020,DE,Biomass,Biomass,YES,7986.63,0.36,0,2.6,0,DE_Biomass
972,Historic,2020,DE,Coal,Coal,YES,22458.4,0.38,0.35,6.6,0,DE_Coal
973,Historic,2020,DE,Dam,Hydro,NO,1296.500385,1,0,2.6,0,DE_Dam
974,Historic,2020,DE,Gas,Gas,YES,31712.06,0.53,0.21,4.6,0,DE_Gas
975,Historic,2020,DE,Lignite,Lignite,YES,21067,0.37,0.36,8.3,0,DE_Lignite
976,Historic,2020,DE,Nuclear,Uran,NO,8114,0.36,0,1.8,0,DE_Nuclear
977,Historic,2020,DE,Oil,Oil,YES,4372.53,0.4,0.28,1.5,0,DE_Oil
978,Historic,2020,DE,Other,Other,NO,3673.29,0.45,0.375,0,0,DE_Other
979,Historic,2020,DE,PSClosed,Hydro,NO,7365.609106,0.75,0,0,0,DE_PSClosed
980,Historic,2020,DE,PSOpen,Hydro,NO,1643.912757,0.75,0,0,0,DE_PSOpen
981,Historic,2020,DE,RoR,Hydro,NO,3969.71,1,0,2.6,0,DE_RoR
982,Historic,2020,DE,Solar,RES,NO,48206.4,1,0,0,0,DE_Solar
983,Historic,2020,DE,WindOff,RES,NO,7503.69,1,0,0,0,DE_WindOff
984,Historic,2020,DE,WindOn,RES,NO,53184.15,1,0,0,0,DE_WindOn
985,Historic,2020,DK,Biomass,Biomass,YES,1872,0.36,0,2.6,0,DK_Biomass
986,Historic,2020,DK,Coal,Coal,YES,3656,0.38,0.35,6.6,0,DK_Coal
987,Historic,2020,DK,Gas,Gas,YES,1739,0.53,0.21,4.6,0,DK_Gas
988,Historic,2020,DK,Oil,Oil,YES,1009,0.4,0.28,1.5,0,DK_Oil
989,Historic,2020,DK,Other,Other,NO,521,0.45,0.375,0,0,DK_Other
990,Historic,2020,DK,RoR,Hydro,NO,7,1,0,2.6,0,DK_RoR
991,Historic,2020,DK,Solar,RES,NO,1013,1,0,0,0,DK_Solar
992,Historic,2020,DK,WindOff,RES,NO,1700,1,0,0,0,DK_WindOff
993,Historic,2020,DK,WindOn,RES,NO,4402,1,0,0,0,DK_WindOn
994,Historic,2020,EE,Biomass,Biomass,YES,156.7,0.36,0,2.6,0,EE_Biomass
995,Historic,2020,EE,Coal,Coal,YES,0,0.38,0.35,6.6,0,EE_Coal
996,Historic,2020,EE,Gas,Gas,YES,212.2,0.53,0.21,4.6,0,EE_Gas
997,Historic,2020,EE,Lignite,Lignite,YES,0,0.37,0.36,8.3,0,EE_Lignite
998,Historic,2020,EE,Nuclear,Uran,NO,0,0.36,0,1.8,0,EE_Nuclear
999,Historic,2020,EE,Oil,Oil,YES,1977.9,0.4,0.28,1.5,0,EE_Oil
1000,Historic,2020,EE,Other,Other,NO,30.6,0.45,0.375,0,0,EE_Other
1001,Historic,2020,EE,RoR,Hydro,NO,8.4,1,0,2.6,0,EE_RoR
1002,Historic,2020,EE,Solar,RES,NO,122.7,1,0,0,0,EE_Solar
1003,Historic,2020,EE,WindOff,RES,NO,0,1,0,0,0,EE_WindOff
1004,Historic,2020,EE,WindOn,RES,NO,328.8,1,0,0,0,EE_WindOn
1005,Historic,2020,ES,Biomass,Biomass,YES,554.6,0.36,0,2.6,0,ES_Biomass
1006,Historic,2020,ES,Coal,Coal,YES,9213.9,0.38,0.35,6.6,0,ES_Coal
1007,Historic,2020,ES,Dam,Hydro,NO,10966.33298,1,0,2.6,0,ES_Dam
1008,Historic,2020,ES,Gas,Gas,YES,30012.3,0.53,0.21,4.6,0,ES_Gas
1009,Historic,2020,ES,Lignite,Lignite,YES,0,0.37,0.36,8.3,0,ES_Lignite
1010,Historic,2020,ES,Nuclear,Uran,NO,7117.2,0.36,0,1.8,0,ES_Nuclear
1011,Historic,2020,ES,Oil,Oil,YES,706.5,0.4,0.28,1.5,0,ES_Oil
1012,Historic,2020,ES,Other,Other,NO,935.3,0.45,0.375,0,0,ES_Other
1013,Historic,2020,ES,PSClosed,Hydro,NO,3330,0.75,0,0,0,ES_PSClosed
1014,Historic,2020,ES,PSOpen,Hydro,NO,2683,0.75,0,0,0,ES_PSOpen
1015,Historic,2020,ES,RoR,Hydro,NO,1154.8,1,0,2.6,0,ES_RoR
1016,Historic,2020,ES,Solar,RES,NO,8465.8,1,0,0,0,ES_Solar
1017,Historic,2020,ES,WindOff,RES,NO,0,1,0,0,0,ES_WindOff
1018,Historic,2020,ES,WindOn,RES,NO,24446.6,1,0,0,0,ES_WindOn
1019,Historic,2020,FI,Biomass,Biomass,YES,1860,0.36,0,2.6,0,FI_Biomass
1020,Historic,2020,FI,Coal,Coal,YES,2163,0.38,0.35,6.6,0,FI_Coal
1021,Historic,2020,FI,Dam,Hydro,NO,3200,1,0,2.6,0,FI_Dam
1022,Historic,2020,FI,Gas,Gas,YES,1849,0.53,0.21,4.6,0,FI_Gas
