,country_sym,week,dam_inflow_MWh,pump_inflow_MWh
144,BG,w39,44663.63947,10712.4682
145,BG,w40,46362.42938,9491.122071
146,BG,w41,33859.26054,3102.072034
147,BG,w42,43376.26926,6191.142516
148,BG,w43,36551.1184,4253.57082
149,BG,w44,38170.11114,6853.43042
150,BG,w45,40580.44439,6534.882233
151,BG,w46,36325.13826,6926.3037509999995
152,BG,w47,31256.15041,7127.770848
153,BG,w48,39978.316679999996,10240.42414
154,BG,w49,15788.12928,604.797158
155,BG,w50,24783.78908,1141.642759
156,BG,w51,31148.79121,1305.740841
157,BG,w52,33502.33536,1063.024217
158,BG,w53,39495.65277,1094.644043
159,CH,w1,123041.0482,0.0
160,CH,w2,115576.6054,0.0
161,CH,w3,108112.16260000001,0.0
162,CH,w4,100647.7198,0.0
163,CH,w5,93183.27699,0.0
164,CH,w6,85718.83416999999,0.0
165,CH,w7,83966.17508999999,0.0
166,CH,w8,102775.9375,0.0
167,CH,w9,123299.235,0.0
168,CH,w10,143822.5324,0.0
169,CH,w11,164345.8299,0.0
170,CH,w12,184869.1274,0.0
171,CH,w13,204802.60770000002,0.0
172,CH,w14,205272.1203,0.0
173,CH,w15,196894.3747,0.0
174,CH,w16,235844.8766,0.0
175,CH,w17,310291.5641,0.0
176,CH,w18,384738.2516,0.0
177,CH,w19,459184.9391,0.0
178,CH,w20,542116.5612,0.0
179,CH,w21,655593.9482,0.0
180,CH,w22,771616.8156,0.0
181,CH,w23,887639.683,0.0
182,CH,w24,993487.9267,0.0
183,CH,w25,977240.6866,0.0
184,CH,w26,927078.0342,0.0
185,CH,w27,876915.3819,0.0
186,CH,w28,826752.7296,0.0
187,CH,w29,791793.4719,0.0
188,CH,w30,768236.7601,0.0
189,CH,w31,744680.0482999999,0.0
190,CH,w32,721123.3366,0.0
191,CH,w33,693534.6905,0.0
192,CH,w34,651431.0808,0.0
193,CH,w35,608117.8909,0.0
194,CH,w36,564804.7008999999,0.0
195,CH,w37,520185.1703,0.0
196,CH,w38,459889.5523,0.0
197,CH,w39,395239.4656,0.0
198,CH,w40,330589.3789,0.0
199,CH,w41,265939.2922,0.0
200,CH,w42,227363.80479999998,0.0
201,CH,w43,223554.45,0.0
202,CH,w44,219745.0952,0.0
203,CH,w45,215935.7403,0.0
204,CH,w46,206215.9797,0.0
205,CH,w47,175218.758,0.0
206,CH,w48,142448.41460000002,0.0
207,CH,w49,109678.0712,0.0
208,CH,w50,76907.72784,0.0
209,CH,w51,44137.38445,0.0
210,CH,w52,11367.04106,0.0
211,CH,w53,11367.04106,0.0
212,CZ,w1,6362.0,0.0
213,CZ,w2,6300.0,220.0
214,CZ,w3,7000.0,463.0
215,CZ,w4,8825.0,585.0
216,CZ,w5,9606.0,676.0
217,CZ,w6,10248.0,768.0
218,CZ,w7,9520.0,891.0
219,CZ,w8,8326.0,1116.0
220,CZ,w9,9070.0,203.0
221,CZ,w10,11508.0,0.0
222,CZ,w11,12191.0,591.0
223,CZ,w12,12941.0,890.0
224,CZ,w13,16318.000000000002,906.0
225,CZ,w14,6626.0,878.0
226,CZ,w15,1342.0,565.0
227,CZ,w16,721.0,214.0
228,CZ,w17,6898.0,551.0
229,CZ,w18,17661.0,0.0
230,CZ,w19,25440.0,0.0
231,CZ,w20,20521.0,116.0
232,CZ,w21,9046.0,143.0
233,CZ,w22,806.0,0.0
234,CZ,w23,152.0,88.0
235,CZ,w24,109.0,43.0
236,CZ,w25,560.0,207.0
237,CZ,w26,1352.0,251.0
238,CZ,w27,837.0,0.0
239,CZ,w28,2287.0,256.0
240,CZ,w29,2732.0,370.0
241,CZ,w30,3487.0,415.0
242,CZ,w31,12390.0,0.0
243,CZ,w32,7722.0,183.0
244,CZ,w33,6437.0,144.0
245,CZ,w34,6683.0,311.0
246,CZ,w35,7160.0,448.0
247,CZ,w36,5590.0,155.0
248,CZ,w37,7215.0,420.0
249,CZ,w38,10366.0,285.0
250,CZ,w39,9236.0,110.0
251,CZ,w40,9841.0,133.0
252,CZ,w41,6913.0,76.0
253,CZ,w42,7459.0,0.0
254,CZ,w43,9038.0,188.0
255,CZ,w44,9198.0,0.0
256,CZ,w45,13934.0,0.0
257,CZ,w46,19476.0,0.0
258,CZ,w47,20808.0,0.0
259,CZ,w48,16193.999999999998,0.0
260,CZ,w49,13144.0,0.0
261,CZ,w50,8884.0,0.0
262,CZ,w51,5309.0,0.0
263,CZ,w52,5966.0,1.0
264,CZ,w53,10058.0,0.0
265,DE,w1,1681.621194,6262.115002
266,DE,w2,860.312402,5163.993359
267,DE,w3,4675.8947370000005,8541.072845
268,DE,w4,5920.171738,7688.896656
269,DE,w5,4689.983368,6915.109158
270,DE,w6,2646.1207870000003,9478.096008
271,DE,w7,2510.9224320000003,5235.779285
272,DE,w8,2138.568401,6879.337788
273,DE,w9,1679.0,10373.91472
274,DE,w10,1679.0,9707.745552
275,DE,w11,1679.0,11159.718509999999
276,DE,w12,1679.0,8140.799522
277,DE,w13,1679.0,8259.837151
278,DE,w14,847.623408,4760.247707
279,DE,w15,1918.160319,6037.338257
280,DE,w16,5100.582123,6440.006732999999
281,DE,w17,2636.993408,5825.219154
282,DE,w18,367.990762,4251.032352
283,DE,w19,3033.701181,4896.233082
284,DE,w20,1677.743196,7032.646656
285,DE,w21,9471.934319,5520.398617
286,DE,w22,12171.15402,4793.224335
287,DE,w23,16666.75949,5720.233917
288,DE,w24,15648.38791,4343.712329999999
289,DE,w25,21899.28818,3415.785074
290,DE,w26,29730.80826,3198.964834
291,DE,w27,9391.112328000001,3412.30917
292,DE,w28,25973.52028,2259.8598
293,DE,w29,26297.53685,2882.027626
294,DE,w30,19265.64217,1234.4294790000001
295,DE,w31,17951.43509,6120.2254299999995
296,DE,w32,23962.74567,3106.1074729999996
297,DE,w33,22616.07742,3142.984867
298,DE,w34,24614.2292,3211.21645
299,DE,w35,23110.565189999998,5021.729469
300,DE,w36,9971.549034000001,4242.1541210000005
301,DE,w37,6183.347702,5680.705547
302,DE,w38,7362.843513,5245.132923
303,DE,w39,9790.412903,8982.72419
304,DE,w40,9375.918388,9872.344017
305,DE,w41,1992.5972219999999,7576.053618999999
306,DE,w42,3515.353203,9336.386681
307,DE,w43,9470.65258,10189.19563
308,DE,w44,6795.170784,8152.592659
309,DE,w45,4840.1527399999995,9724.656105
310,DE,w46,10739.10618,12075.84476
311,DE,w47,3239.6857739999996,12828.20511
312,DE,w48,1924.232125,9482.027054
313,DE,w49,8889.454842,13036.32069
314,DE,w50,5331.478596,13798.70701
315,DE,w51,6483.412743,12468.35136
316,DE,w52,11483.52432,11512.99381
317,DE,w53,17380.09834,8704.111099
318,ES,w1,175830.0,3754.0
319,ES,w2,179493.0,3726.0
