country_sym,week,PSClosed,PSOpen,Dam
CH,w25,0.315619953,0,0.315619953
CH,w26,0.346297781,0,0.346297781
CH,w27,0.374979609,0,0.374979609
CH,w28,0.39970143,0,0.39970143
CH,w29,0.430410983,0,0.430410983
CH,w30,0.477328672,0,0.477328672
CH,w31,0.511250989,0,0.511250989
CH,w32,0.541256253,0,0.541256253
CH,w33,0.571964256,0,0.571964256
CH,w34,0.578706386,0,0.578706386
CH,w35,0.607383124,0,0.607383124
CH,w36,0.618739492,0,0.618739492
CH,w37,0.610926356,0,0.610926356
CH,w38,0.606284547,0,0.606284547
CH,w39,0.608060925,0,0.608060925
CH,w40,0.617217295,0,0.617217295
CH,w41,0.616743242,0,0.616743242
CH,w42,0.590029292,0,0.590029292
CH,w43,0.573114378,0,0.573114378
CH,w44,0.553856584,0,0.553856584
CH,w45,0.525583326,0,0.525583326
CH,w46,0.490606751,0,0.490606751
CH,w47,0.459845192,0,0.459845192
CH,w48,0.414612089,0,0.414612089
CH,w49,0.370245729,0,0.370245729
CH,w50,0.344843614,0,0.344843614
CH,w51,0.336097742,0,0.336097742
CH,w52,0.335146169,0,0.335146169
ES,w1,0.383473474,0.383473474,0.383473474
ES,w2,0.374359497,0.374359497,0.374359497
ES,w3,0.351102271,0.351102271,0.351102271
ES,w4,0.357283844,0.357283844,0.357283844
ES,w5,0.391714347,0.391714347,0.391714347
ES,w6,0.425105584,0.425105584,0.425105584
ES,w7,0.444336366,0.444336366,0.444336366
ES,w8,0.450943722,0.450943722,0.450943722
ES,w9,0.454625455,0.454625455,0.454625455
ES,w10,0.458133077,0.458133077,0.458133077
ES,w11,0.452520689,0.452520689,0.452520689
ES,w12,0.450672834,0.450672834,0.450672834
ES,w13,0.452933596,0.452933596,0.452933596
ES,w14,0.451144694,0.451144694,0.451144694
ES,w15,0.449267965,0.449267965,0.449267965
ES,w16,0.443184462,0.443184462,0.443184462
ES,w17,0.439051243,0.439051243,0.439051243
ES,w18,0.437823557,0.437823557,0.437823557
ES,w19,0.448654182,0.448654182,0.448654182
ES,w20,0.45049906,0.45049906,0.45049906
ES,w21,0.44538494,0.44538494,0.44538494
ES,w22,0.442708207,0.442708207,0.442708207
