scenario,year,node,from,to,ntc
Historic,2020,BE-GB,BE,GB,1000
Historic,2020,GB-BE,GB,BE,1000
Historic,2020,DE-NO,DE,NO,1400
Historic,2020,NO-DE,NO,DE,1400
Historic,2020,BE-DE,BE,DE,1000
Historic,2020,DE-BE,DE,BE,1000
Historic,2020,AT-HU,AT,HU,800
Historic,2020,AT-SI,AT,SI,950
Historic,2020,HU-AT,HU,AT,800
Historic,2020,SI-AT,SI,AT,950
Historic,2020,AT-CH,AT,CH,1200
Historic,2020,AT-CZ,AT,CZ,900
Historic,2020,AT-DE,AT,DE,5000
Historic,2020,AT-IT,AT,IT,405
Historic,2020,BE-FR,BE,FR,1800
Historic,2020,BE-NL,BE,NL,2400
Historic,2020,BG-GR,BG,GR,600
Historic,2020,BG-RO,BG,RO,300
Historic,2020,CH-AT,CH,AT,1200
Historic,2020,CH-DE,CH,DE,4600
Historic,2020,CH-FR,CH,FR,1300
Historic,2020,CH-IT,CH,IT,4240
Historic,2020,CZ-AT,CZ,AT,800
Historic,2020,CZ-DE,CZ,DE,2100
Historic,2020,CZ-PL,CZ,PL,600
Historic,2020,CZ-SK,CZ,SK,1800
Historic,2020,DE-AT,DE,AT,5000
Historic,2020,DE-CH,DE,CH,2700
Historic,2020,DE-CZ,DE,CZ,1500
Historic,2020,DE-DK,DE,DK,400
Historic,2020,DE-FR,DE,FR,2300
Historic,2020,DE-NL,DE,NL,4250
Historic,2020,DE-PL,DE,PL,500
Historic,2020,DE-SE,DE,SE,615
Historic,2020,DK-DE,DK,DE,400
Historic,2020,DK-NL,DK,NL,700
Historic,2020,DK-NO,DK,NO,1640
Historic,2020,DK-SE,DK,SE,1700
Historic,2020,EE-FI,EE,FI,1016
Historic,2020,EE-LV,EE,LV,900
Historic,2020,ES-FR,ES,FR,2600
Historic,2020,ES-PT,ES,PT,4200
Historic,2020,FI-EE,FI,EE,1000
Historic,2020,FI-SE,FI,SE,1100
Historic,2020,FR-BE,FR,BE,3300
Historic,2020,FR-CH,FR,CH,3150
Historic,2020,FR-DE,FR,DE,380
Historic,2020,FR-ES,FR,ES,2800
Historic,2020,FR-GB,FR,GB,2000
Historic,2020,FR-IT,FR,IT,4350
Historic,2020,GB-FR,GB,FR,2000
Historic,2020,GB-IE,GB,IE,500
Historic,2020,GB-NL,GB,NL,1000
Historic,2020,GR-BG,GR,BG,400
Historic,2020,GR-IT,GR,IT,500
Historic,2020,HR-HU,HR,HU,2000
Historic,2020,HR-SI,HR,SI,1500
Historic,2020,HU-HR,HU,HR,2000
Historic,2020,HU-RO,HU,RO,1000
Historic,2020,HU-SK,HU,SK,2000
Historic,2020,IE-GB,IE,GB,500
Historic,2020,IT-AT,IT,AT,235
Historic,2020,IT-CH,IT,CH,1910
Historic,2020,IT-FR,IT,FR,2160
Historic,2020,IT-GR,IT,GR,500
Historic,2020,IT-SI,IT,SI,680
Historic,2020,LT-LV,LT,LV,1200
Historic,2020,LT-PL,LT,PL,500
Historic,2020,LT-SE,LT,SE,700
Historic,2020,LV-EE,LV,EE,900
Historic,2020,LV-LT,LV,LT,1500
Historic,2020,NL-BE,NL,BE,1400
Historic,2020,NL-DE,NL,DE,4250
Historic,2020,NL-DK,NL,DK,700
Historic,2020,NL-GB,NL,GB,1000
Historic,2020,NL-NO,NL,NO,700
Historic,2020,NO-DK,NO,DK,1640
Historic,2020,NO-NL,NO,NL,700
Historic,2020,NO-SE,NO,SE,600
Historic,2020,PL-CZ,PL,CZ,800
Historic,2020,PL-DE,PL,DE,2500
Historic,2020,PL-LT,PL,LT,500
Historic,2020,PL-SE,PL,SE,600
Historic,2020,PL-SK,PL,SK,990
Historic,2020,PT-ES,PT,ES,3500
Historic,2020,RO-BG,RO,BG,300
Historic,2020,RO-HU,RO,HU,1100
Historic,2020,SE-DE,SE,DE,615
Historic,2020,SE-DK,SE,DK,1300
Historic,2020,SE-FI,SE,FI,1200
Historic,2020,SE-LT,SE,LT,700
Historic,2020,SE-NO,SE,NO,1000
Historic,2020,SE-PL,SE,PL,600
Historic,2020,SI-HR,SI,HR,1500
Historic,2020,SI-IT,SI,IT,730
Historic,2020,SK-CZ,SK,CZ,1100
Historic,2020,SK-HU,SK,HU,2000
Historic,2020,SK-PL,SK,PL,491
